 phase int32_ta54a0434  , wave index 2644 diff: 37, cycles: 4395
 phase int32_ta7a2c358  , wave index 2682 diff: 38, cycles: 4395
 phase int32_ta9fb827c  , wave index 2719 diff: 37, cycles: 4395
 phase int32_tac5441a0  , wave index 2757 diff: 38, cycles: 4395
 phase int32_taead00c4  , wave index 2794 diff: 37, cycles: 4395
 phase int32_tb105bfe8  , wave index 2832 diff: 38, cycles: 4395
 phase int32_tb35e7f0c  , wave index 2869 diff: 37, cycles: 4395
 phase int32_tb5b73e30  , wave index 2907 diff: 38, cycles: 4395
 phase int32_tb80ffd54  , wave index 2944 diff: 37, cycles: 4395
 phase int32_tba68bc78  , wave index 2982 diff: 38, cycles: 4395
 phase int32_tbcc17b9c  , wave index 3020 diff: 38, cycles: 4395
 phase int32_tbf1a3ac0  , wave index 3057 diff: 37, cycles: 4395
 phase int32_tc172f9e4  , wave index 3095 diff: 38, cycles: 4395
 phase int32_tc3cbb908  , wave index 3132 diff: 37, cycles: 4395
 phase int32_tc624782c  , wave index 3170 diff: 38, cycles: 4395
 phase int32_tc87d3750  , wave index 3207 diff: 37, cycles: 4395
 phase int32_tcad5f674  , wave index 3245 diff: 38, cycles: 4395
 phase int32_tcd2eb598  , wave index 3282 diff: 37, cycles: 4395
 phase int32_tcf8774bc  , wave index 3320 diff: 38, cycles: 4395
 phase int32_td1e033e0  , wave index 3358 diff: 38, cycles: 4395
 phase int32_td438f304  , wave index 3395 diff: 37, cycles: 4395
 phase int32_td691b228  , wave index 3433 diff: 38, cycles: 4395
 phase int32_td8ea714c  , wave index 3470 diff: 37, cycles: 4395
 phase int32_tdb433070  , wave index 3508 diff: 38, cycles: 4395
 phase int32_tdd9bef94  , wave index 3545 diff: 37, cycles: 4395
 phase int32_tdff4aeb8  , wave index 3583 diff: 38, cycles: 4395
 phase int32_te24d6ddc  , wave index 3620 diff: 37, cycles: 4395
 phase int32_te4a62d00  , wave index 3658 diff: 38, cycles: 4395
 phase int32_te6feec24  , wave index 3695 diff: 37, cycles: 4395
 phase int32_te957ab48  , wave index 3733 diff: 38, cycles: 4395
 phase int32_tebb06a6c  , wave index 3771 diff: 38, cycles: 4395
 phase int32_tee092990  , wave index 3808 diff: 37, cycles: 4395
 phase int32_tf061e8b4  , wave index 3846 diff: 38, cycles: 4395
 phase int32_tf2baa7d8  , wave index 3883 diff: 37, cycles: 4395
 phase int32_tf51366fc  , wave index 3921 diff: 38, cycles: 4395
 phase int32_tf76c2620  , wave index 3958 diff: 37, cycles: 4395
 phase int32_tf9c4e544  , wave index 3996 diff: 38, cycles: 4395
 phase int32_tfc1da468  , wave index 4033 diff: 37, cycles: 4395
 phase int32_tfe76638c  , wave index 4071 diff: 38, cycles: 4395
 phase int32_tcf22b0    , wave index 12 diff: -4059, cycles: 4396
 phase int32_t327e1d4   , wave index 50 diff: 38, cycles: 4396
 phase int32_t580a0f8   , wave index 88 diff: 38, cycles: 4396
 phase int32_t7d9601c   , wave index 125 diff: 37, cycles: 4396
 phase int32_ta321f40   , wave index 163 diff: 38, cycles: 4396
 phase int32_tc8ade64   , wave index 200 diff: 37, cycles: 4396
 phase int32_tee39d88   , wave index 238 diff: 38, cycles: 4396
 phase int32_t113c5cac  , wave index 275 diff: 37, cycles: 4396
 phase int32_t13951bd0  , wave index 313 diff: 38, cycles: 4396
 phase int32_t15eddaf4  , wave index 350 diff: 37, cycles: 4396
 phase int32_t18469a18  , wave index 388 diff: 38, cycles: 4396
 phase int32_t1a9f593c  , wave index 425 diff: 37, cycles: 4396
 phase int32_t1cf81860  , wave index 463 diff: 38, cycles: 4396
 phase int32_t1f50d784  , wave index 501 diff: 38, cycles: 4396
 phase int32_t21a996a8  , wave index 538 diff: 37, cycles: 4396
 phase int32_t240255cc  , wave index 576 diff: 38, cycles: 4396
 phase int32_t265b14f0  , wave index 613 diff: 37, cycles: 4396
 phase int32_t28b3d414  , wave index 651 diff: 38, cycles: 4396
 phase int32_t2b0c9338  , wave index 688 diff: 37, cycles: 4396
 phase int32_t2d65525c  , wave index 726 diff: 38, cycles: 4396
 phase int32_t2fbe1180  , wave index 763 diff: 37, cycles: 4396
 phase int32_t3216d0a4  , wave index 801 diff: 38, cycles: 4396
 phase int32_t346f8fc8  , wave index 838 diff: 37, cycles: 4396
 phase int32_t36c84eec  , wave index 876 diff: 38, cycles: 4396
 phase int32_t39210e10  , wave index 914 diff: 38, cycles: 4396
 phase int32_t3b79cd34  , wave index 951 diff: 37, cycles: 4396
 phase int32_t3dd28c58  , wave index 989 diff: 38, cycles: 4396
 phase int32_t402b4b7c  , wave index 1026 diff: 37, cycles: 4396
 phase int32_t42840aa0  , wave index 1064 diff: 38, cycles: 4396
 phase int32_t44dcc9c4  , wave index 1101 diff: 37, cycles: 4396
 phase int32_t473588e8  , wave index 1139 diff: 38, cycles: 4396
 phase int32_t498e480c  , wave index 1176 diff: 37, cycles: 4396
 phase int32_t4be70730  , wave index 1214 diff: 38, cycles: 4396
 phase int32_t4e3fc654  , wave index 1251 diff: 37, cycles: 4396
 phase int32_t50988578  , wave index 1289 diff: 38, cycles: 4396
 phase int32_t52f1449c  , wave index 1327 diff: 38, cycles: 4396
 phase int32_t554a03c0  , wave index 1364 diff: 37, cycles: 4396
 phase int32_t57a2c2e4  , wave index 1402 diff: 38, cycles: 4396
