
0, 0	0
1, 48	64
2, 176	64
3, 320	64
4, 480	64
5, 640	64
6, 800	64
7, 960	80
8, 1184	112
9, 1408	144
10, 1680	176
11, 1904	176
12, 2128	176
13, 2256	240
14, 2512	256
15, 2752	272
16, 2992	288
17, 3168	304
18, 3376	320
19, 3600	336
20, 3808	352
21, 3920	416
22, 81	432
23, 321	448
24, 561	464
25, 737	480
26, 945	496
27, 1169	512
28, 1377	528
29, 1441	592
30, 1569	592
31, 1761	592
32, 1969	592
33, 2177	592
34, 2385	592
35, 2641	592
36, 2913	592
37, 3185	592
38, 3425	592
39, 3473	656
40, 3601	656
41, 3745	656
42, 3905	656
43, 4065	656
44, 130	656
45, 290	672
46, 482	672
47, 706	704
48, 930	736
49, 1202	768
50, 1426	768
51, 1650	768
52, 1682	832
53, 1810	832
54, 1938	832
55, 2066	832
56, 2210	832
57, 2370	848
58, 2514	864
59, 2658	864
60, 2802	864
61, 2946	864
62, 2994	928
63, 3218	928
64, 3458	928
65, 3730	928
66, 3986	928
67, 131	944
68, 371	1120
69, 515	1136
70, 659	1152
71, 803	1168
72, 947	1184
73, 1091	1200
74, 1283	1376
75, 1443	1392
76, 1603	1408
77, 1763	1424
78, 1923	1440
79, 2019	1456
80, 2115	1472
81, 2275	1488
82, 2515	1664
83, 2595	1680
84, 2675	1696
85, 2755	1712
86, 2915	1728
87, 3075	1744
88, 3235	1744
89, 3379	1744
90, 3379	1808
91, 3859	1824
92, 340	1888
93, 596	1904
94, 852	1920
95, 1108	1936
96, 1668	2000
97, 2244	2064
98, 2308	2128
99, 2452	2128
100, 2612	2128
101, 2772	2128
102, 2932	2128
103, 3092	2128
104, 3252	2128
105, 3316	2192
106, 3492	2192
107, 3684	2192
108, 3876	2192
109, 4068	2192
110, 165	2192
111, 357	2192
112, 549	2192
113, 741	2192
114, 933	2192
115, 1141	2192
116, 1333	2192
117, 1525	2192
118, 1637	2256
119, 1765	2272
120, 1925	2288
121, 2085	2304
122, 2245	2320
123, 2421	2352
124, 2533	2368
125, 2645	2384
126, 2757	2400
127, 2869	2416
128, 2981	2432
129, 3093	2448
130, 3205	2464
131, 3317	2480
132, 3429	2496
133, 3461	2560
134, 3765	2576
135, 4069	2592
136, 278	2608
137, 582	2624
138, 886	2640
139, 1190	2656
140, 1478	2672
141, 1526	2736
142, 1622	2752
143, 1862	2768
144, 1974	2784
145, 2150	2800
146, 2326	2816
147, 2534	2816
148, 2742	2816
149, 3014	2880
150, 3062	2880
151, 3062	2928
152, 3126	2928
153, 3238	2928
154, 3414	2928
155, 3462	2928
156, 3526	2928
157, 3574	2928
158, 3638	2928
159, 3686	2928
160, 3734	2928
161, 3942	2960
162, 4006	2960
163, 4086	3024
164, 135	3024
165, 279	3024
166, 503	3024
167, 727	3024
168, 887	3024
169, 1111	3024
170, 1239	3088
171, 1383	3104
172, 1543	3120
173, 1703	3136
174, 1847	3152
175, 1991	3168
176, 2151	3184
177, 2295	3200
178, 2439	3216
179, 2583	3232
180, 2727	3248
181, 2871	3328
182, 2999	3344
183, 3143	3360
184, 3287	3376
185, 3431	3392
186, 3575	3408
187, 3719	3424
188, 3863	3440
189, 4007	3456
190, 104	3520
191, 264	3536
192, 440	3552
193, 632	3616
194, 776	3632
195, 920	3648
196, 1112	3712
197, 1256	3728
198, 1432	3744
199, 1528	3808
200, 1528	3872
201, 1688	3888
202, 1832	3904
203, 2008	3968
204, 2072	3984
205, 2136	4000
206, 2200	4016
207, 2264	4032
208, 2328	4048
209, 2392	4064
210, 2456	4080
211, 2520	1
212, 2584	17
213, 2648	33
214, 2712	49
215, 2776	65
216, 2840	81
217, 3016	145
218, 3160	161
219, 3304	177
220, 3448	193
221, 3608	209
222, 3784	225
223, 3960	241
224, 41	257
225, 217	273
226, 329	289
227, 441	305
228, 569	321
229, 745	385
230, 825	401
231, 969	417
232, 1049	433
233, 1129	449
234, 1209	465
235, 1273	481
236, 1337	497
237, 1401	513
238, 1465	529
239, 1529	545
240, 1817	609
241, 1929	689
242, 2025	689
243, 2121	689
244, 2217	689
245, 2313	689
246, 2409	689
247, 2505	689
248, 2601	689
249, 2697	689
250, 2793	689
251, 2889	689
252, 2985	689
253, 3065	689
254, 3145	689
255, 3241	689
256, 3337	689
257, 3433	689
258, 3529	689
259, 3625	689
260, 3721	689
261, 3817	689
262, 3913	689
263, 4009	689
264, 10	689
265, 106	689
266, 298	753
267, 346	753
268, 394	753
269, 442	753
270, 490	753
271, 538	753
272, 586	753
273, 634	753
274, 682	753
275, 794	817
276, 986	817
277, 1082	817
278, 1178	817
279, 1274	817
280, 1354	817
281, 1386	881
282, 1530	897
283, 1674	913
284, 1802	929
285, 1930	945
286, 2074	961
287, 2218	977
288, 2346	993
289, 2474	1009
290, 2618	1025
291, 2762	1041
292, 2906	1057
293, 3050	1073
294, 3146	1137
295, 3290	1137
296, 3370	1137
297, 3450	1137
298, 3530	1137
299, 3610	1137
300, 3690	1137
301, 3882	1201
302, 3946	1217
303, 4074	1233
304, 107	1249
305, 107	1313
306, 395	1329
307, 683	1345
308, 971	1361
309, 1259	1377
310, 1611	1393
311, 1963	1409
312, 2251	1425
313, 2539	1441
314, 2827	1457
315, 3115	1473
316, 3387	1489
317, 3659	1505
318, 3691	1569
319, 3899	1585
320, 12	1601
321, 220	1617
322, 428	1633
323, 636	1649
324, 844	1665
325, 1052	1681
326, 1244	1697
327, 1356	1761
328, 1500	1777
329, 1644	1793
330, 1788	1809
331, 1948	1825
332, 2076	1841
333, 2220	1857
334, 2380	1873
335, 2540	1889
336, 2700	1905
337, 2844	1921
338, 3004	1937
339, 3148	1953
340, 3308	1969
341, 3452	1985
342, 3612	2001
343, 3724	2081
344, 3884	2081
345, 4044	2081
346, 109	2081
347, 269	2081
348, 429	2081
349, 589	2081
350, 749	2081
351, 909	2081
352, 1037	2081
353, 1165	2081
354, 1293	2081
355, 1437	2081
356, 1597	2081
357, 1709	2161
358, 1869	2161
359, 2029	2161
360, 2189	2161
361, 2349	2161
362, 2509	2161
363, 2669	2161
364, 2829	2161
365, 2989	2161
366, 3117	2161
367, 3245	2161
368, 3373	2161
369, 3517	2161
370, 3677	2161
371, 3773	2241
372, 3901	2241
373, 4029	2241
374, 62	2241
375, 190	2241
376, 318	2241
377, 446	2241
378, 574	2241
379, 702	2241
380, 830	2241
381, 958	2241
382, 1086	2241
383, 1230	2241
384, 1358	2241
385, 1486	2321
386, 1534	2321
387, 1646	2321
388, 1758	2321
389, 1806	2321
390, 1854	2321
391, 1902	2321
392, 1950	2321
393, 1998	2321
394, 2110	2321
395, 2238	2321
396, 2302	2321
397, 2350	2321
398, 2382	2321
399, 2430	2321
400, 2462	2385
401, 2606	2385
402, 2750	2385
403, 2878	2385
404, 3006	2385
405, 3134	2385
406, 3262	2385
407, 3406	2385
408, 3550	2385
409, 3694	2385
410, 3822	2385
411, 3966	2385
412, 31	2385
413, 287	2449
414, 335	2449
415, 383	2449
416, 431	2449
417, 479	2449
418, 527	2449
419, 575	2449
420, 623	2449
421, 671	2449
422, 799	2497
423, 943	2497
424, 1167	2497
425, 1407	2497
426, 1519	2513
427, 1663	2513
428, 1807	2513
429, 1967	2513
430, 2095	2577
431, 2271	2593
432, 2367	2609
433, 2463	2625
434, 2559	2641
435, 2655	2657
436, 2751	2673
437, 2847	2689
438, 2943	2705
439, 3039	2721
440, 3135	2737
441, 3231	2753
442, 3343	2833
443, 3439	2833
444, 3535	2833
445, 3631	2833
446, 3727	2833
447, 3823	2833
448, 3919	2833
449, 4015	2833
450, 16	2833
451, 112	2833
452, 208	2833
453, 304	2833
454, 384	2833
455, 464	2833
456, 560	2833
457, 656	2833
458, 752	2833
459, 848	2833
460, 1008	2833
461, 1104	2833
462, 1200	2833
463, 1296	2833
464, 1392	2833
465, 1488	2833
466, 1584	2833
467, 1712	2913
468, 1808	2913
469, 1904	2913
470, 2000	2913
471, 2096	2913
472, 2192	2913
473, 2288	2913
474, 2384	2913
475, 2480	2913
476, 2576	2913
477, 2672	2913
478, 2768	2913
479, 2848	2913
480, 2928	2913
481, 3024	2913
482, 3120	2913
483, 3216	2913
484, 3312	2913
485, 3408	2913
486, 3504	2913
487, 3600	2913
488, 3696	2913
489, 3792	2913
490, 3888	2913
491, 3984	2913
492, 17	2993
493, 113	2993
494, 209	2993
495, 305	2993
496, 401	2993
497, 497	2993
498, 593	2993
499, 689	2993
500, 785	2993
501, 881	2993
502, 977	2993
503, 1073	2993
504, 1153	2993
505, 1233	2993
506, 1329	2993
507, 1425	2993
508, 1521	2993
509, 1617	2993
510, 1713	2993
511, 1809	2993
512, 1905	2993
513, 2001	2993
514, 2097	2993
515, 2193	2993
516, 2193	3057
517, 2337	3073
518, 2465	3089
519, 2593	3105
520, 2721	3121
521, 2737	3185
522, 2913	3201
523, 3153	3217
524, 3249	3233
525, 3377	3249
526, 3617	3265
527, 3809	3281
528, 4033	3297
529, 18	3297
530, 98	3297
531, 130	3361
532, 258	3361
533, 386	3361
534, 514	3361
535, 658	3361
536, 818	3377
537, 962	3393
538, 1106	3393
539, 1250	3393
540, 1394	3393
541, 1394	3457
542, 1554	3489
543, 1666	3505
544, 1810	3521
545, 1954	3537
546, 2098	3553
547, 2242	3617
548, 2322	3633
549, 2466	3697
550, 2466	3761
551, 2642	3761
552, 2802	3761
553, 2962	3761
554, 3138	3761
555, 3362	3777
556, 3554	3777
557, 3762	3777
558, 3970	3777
559, 51	3777
560, 291	3777
561, 611	3793
562, 931	3809
563, 1267	3825
564, 1603	3841
565, 1715	3905
566, 1891	3921
567, 2067	3937
568, 2275	3953
569, 2451	3969
570, 2627	3969
571, 2803	3969
572, 2915	4033
573, 3155	4049
574, 3459	4065
575, 3699	4081
576, 3939	2
577, 148	18
578, 452	34
579, 452	98
580, 820	114
581, 1140	146
582, 1396	162
583, 1636	178
584, 1972	210
585, 2244	226
586, 2516	242
587, 2756	258
588, 3012	274
589, 3268	290
590, 3412	306
591, 3556	322
592, 3700	338
593, 3828	354
594, 3828	418
595, 4100	450
596, 277	466
597, 549	482
598, 789	498
599, 1045	514
600, 1301	530
601, 1301	594
602, 1429	610
603, 1541	626
604, 1669	642
605, 1829	658
606, 1957	674
607, 1957	738
608, 2053	754
609, 2165	770
610, 2277	786
611, 2389	802
612, 2549	818
613, 2709	834
614, 2869	850
615, 2869	914
616, 2949	930
617, 3045	946
618, 3205	962
619, 3301	978
620, 3397	994
621, 3493	1010
622, 3589	1026
623, 3749	1042
624, 3909	1058
625, 4069	1074
626, 134	1090
627, 294	1106
628, 454	1122
629, 598	1138
630, 886	1202
631, 886	1266
632, 1110	1282
633, 1350	1298
634, 1622	1314
635, 1894	1330
636, 2166	1346
637, 2246	1362
638, 2326	1378
639, 2326	1442
640, 2502	1442
641, 2598	1442
642, 2710	1442
643, 2838	1442
644, 2966	1442
645, 3094	1442
646, 3270	1442
647, 3478	1442
648, 3654	1442
649, 3750	1506
650, 3750	1570
651, 3878	1570
652, 3974	1570
653, 4006	1650
654, 71	1650
655, 151	1666
656, 215	1746
657, 343	1746
658, 471	1746
659, 583	1746
660, 679	1762
661, 887	1794
662, 903	1858
663, 999	1874
664, 1111	1890
665, 1223	1906
666, 1335	1922
667, 1383	1970
668, 1495	1986
669, 1639	2002
670, 1783	2018
671, 1927	2034
672, 2071	2050
673, 2215	2066
674, 2359	2082
675, 2423	2194
676, 2599	2194
677, 2695	2194
678, 2775	2258
679, 2983	2274
680, 3127	2290
681, 3271	2306
682, 3479	2322
683, 3607	2338
684, 3751	2354
685, 3767	2418
686, 3847	2418
687, 3991	2418
688, 56	2418
689, 200	2418
690, 248	2466
691, 456	2482
692, 696	2498
693, 936	2514
694, 1176	2530
695, 1416	2546
696, 1656	2562
697, 1896	2578
698, 2104	2594
699, 2216	2610
700, 2328	2626
701, 2440	2642
702, 2552	2658
703, 2664	2674
704, 2776	2690
705, 2776	2754
706, 2952	2754
707, 3128	2754
708, 3304	2754
709, 3496	2754
710, 3720	2770
711, 3960	2770
712, 121	2770
713, 377	2770
714, 585	2770
715, 857	2770
716, 1193	2786
717, 1529	2802
718, 1865	2818
719, 2201	2834
720, 2265	2834
721, 2585	2914
722, 2809	2978
723, 2873	3026
724, 3017	3026
725, 3097	3026
726, 3129	3074
727, 3257	3090
728, 3353	3106
729, 3449	3122
730, 3545	3138
731, 3641	3154
732, 3737	3170
733, 3833	3186
734, 3849	3250
735, 3897	3250
736, 3945	3250
737, 4057	3314
738, 4057	3378
739, 266	3394
740, 538	3410
741, 538	3474
742, 714	3490
743, 954	3506
744, 1050	3522
745, 1178	3538
746, 1418	3554
747, 1610	3570
748, 1834	3586
749, 2170	3602
750, 2410	3618
751, 2602	3634
752, 2842	3650
753, 3098	3666
754, 3178	3682
755, 3338	3698
756, 3482	3714
757, 3578	3730
758, 3674	3746
759, 3834	3762
760, 3930	3778
761, 4090	3794
762, 91	3810
763, 187	3826
764, 427	3842
765, 523	3858
766, 619	3874
767, 875	3890
768, 1147	3906
769, 1243	3922
770, 1339	3938
771, 1435	3954
772, 1595	3970
773, 1691	3986
774, 1691	4050
775, 1867	4050
776, 2027	4050
777, 2187	4050
778, 2363	4050
779, 2587	4066
780, 2795	4066
781, 3019	4066
782, 3243	4066
783, 3435	4066
784, 3691	4066
785, 4011	4082
786, 236	3
787, 572	19
788, 908	35
789, 1036	35
790, 1116	99
791, 1292	115
792, 1468	131
793, 1676	147
794, 1852	163
795, 2028	163
796, 2204	163
797, 2252	227
798, 2476	227
799, 2732	227
800, 3004	227
801, 3260	227
802, 3484	259
803, 3644	291
