
136, 25	e8,3	Gen_VolEnvSustain
137, 26	60,9	Gen_VolEnvRelease
138, 30	e6,0	Gen_Attenuation
139, 34	6,0	Gen_FineTune
140, 29	6b,0	Gen_Instrument
141, 10	46,0	Gen_ReverbSend
142, 2b	0,69	Gen_KeyRange
143,  8	f,fe	Gen_FilterFc
144,  b	18,fc	Gen_ModEnv2FilterFc
145, 11	46,0	Gen_Pan
146, 15	25,1f	Gen_ModLFODelay
147, 16	a8,fc	Gen_ModLFOFreq
148, 18	a8,fc	Gen_VibLFOFreq
149, 19	db,e0	Gen_ModEnvDelay
150, 1a	1f,f5	Gen_ModEnvAttack
151, 1e	b0,4	Gen_ModEnvRelease
152, 30	fa,0	Gen_Attenuation
153, 34	4,0	Gen_FineTune
154, 29	3,0	Gen_Instrument
155,  8	9a,fd	Gen_FilterFc
156, 11	bb,ff	Gen_Pan
157, 19	db,e0	Gen_ModEnvDelay
158, 1a	6f,f0	Gen_ModEnvAttack
159, 26	c6,1	Gen_VolEnvRelease
160, 30	87,0	Gen_Attenuation
161, 29	1,0	Gen_Instrument
162, 10	46,0	Gen_ReverbSend
163, 2b	0,69	Gen_KeyRange
164,  8	f,fe	Gen_FilterFc
165,  b	18,fc	Gen_ModEnv2FilterFc
166, 11	46,0	Gen_Pan
167, 15	25,1f	Gen_ModLFODelay
168, 16	a8,fc	Gen_ModLFOFreq
169, 18	a8,fc	Gen_VibLFOFreq
170, 19	db,e0	Gen_ModEnvDelay
171, 1a	1f,f5	Gen_ModEnvAttack
172, 1e	b0,4	Gen_ModEnvRelease
173, 30	fa,0	Gen_Attenuation
174, 34	4,0	Gen_FineTune
175, 29	3,0	Gen_Instrument
176,  8	9a,fd	Gen_FilterFc
177, 11	bb,ff	Gen_Pan
178, 19	db,e0	Gen_ModEnvDelay
179, 1a	6f,f0	Gen_ModEnvAttack
180, 26	c6,1	Gen_VolEnvRelease
181, 30	87,0	Gen_Attenuation
182, 29	2,0	Gen_Instrument
183, 10	1e,0	Gen_ReverbSend
184, 29	34,0	Gen_Instrument
185, 2b	2f,2f	Gen_KeyRange
186,  f	23,0	Gen_ChorusSend
187, 10	23,0	Gen_ReverbSend
188, 33	6,0	Gen_CoarseTune
189, 34	32,0	Gen_FineTune
190, 29	36,1	Gen_Instrument
191, 29	33,0	Gen_Instrument
192, 2b	34,34	Gen_KeyRange
193,  f	23,0	Gen_ChorusSend
194, 10	23,0	Gen_ReverbSend
195, 33	3,0	Gen_CoarseTune
196, 34	32,0	Gen_FineTune
197, 29	cb,0	Gen_Instrument
198, 2b	35,35	Gen_KeyRange
199,  b	20,1c	Gen_ModEnv2FilterFc
200, 10	46,0	Gen_ReverbSend
201, 1e	25,1f	Gen_ModEnvRelease
202, 33	3,0	Gen_CoarseTune
203, 34	32,0	Gen_FineTune
204, 29	c5,0	Gen_Instrument
205, 2b	36,36	Gen_KeyRange
206, 33	2,0	Gen_CoarseTune
207, 29	b1,0	Gen_Instrument
208, 2b	37,37	Gen_KeyRange
209,  f	46,0	Gen_ChorusSend
210, 10	23,0	Gen_ReverbSend
211, 33	1,0	Gen_CoarseTune
212, 29	c2,0	Gen_Instrument
213, 2b	38,39	Gen_KeyRange
214,  f	23,0	Gen_ChorusSend
215, 10	23,0	Gen_ReverbSend
216, 30	b9,ff	Gen_Attenuation
217, 34	32,0	Gen_FineTune
218, 29	bf,0	Gen_Instrument
219, 2b	3a,3a	Gen_KeyRange
220, 10	c8,0	Gen_ReverbSend
221, 11	d4,fe	Gen_Pan
222, 30	64,0	Gen_Attenuation
223, 33	fe,ff	Gen_CoarseTune
224, 34	32,0	Gen_FineTune
225, 38	d8,ff	Gen_ScaleTune
226, 29	12,1	Gen_Instrument
227, 2b	3a,3a	Gen_KeyRange
228, 10	c8,0	Gen_ReverbSend
229, 11	2c,1	Gen_Pan
230, 30	64,0	Gen_Attenuation
231, 33	2,0	Gen_CoarseTune
232, 34	32,0	Gen_FineTune
233, 38	d8,ff	Gen_ScaleTune
234, 29	12,1	Gen_Instrument
235, 2b	3b,3b	Gen_KeyRange
236, 30	78,0	Gen_Attenuation
237, 34	19,0	Gen_FineTune
238, 29	c7,0	Gen_Instrument
239, 2b	3c,3c	Gen_KeyRange
240,  f	23,0	Gen_ChorusSend
241, 10	23,0	Gen_ReverbSend
242, 29	c4,0	Gen_Instrument
243, 2b	3e,3e	Gen_KeyRange
244, 10	46,0	Gen_ReverbSend
245, 30	96,0	Gen_Attenuation
246, 33	ff,ff	Gen_CoarseTune
247, 34	c,0	Gen_FineTune
248, 29	c0,0	Gen_Instrument
249, 2b	3f,3f	Gen_KeyRange
250, 30	78,0	Gen_Attenuation
251, 33	ff,ff	Gen_CoarseTune
252, 29	cc,0	Gen_Instrument
253, 2b	40,40	Gen_KeyRange
254, 30	28,0	Gen_Attenuation
255, 33	fe,ff	Gen_CoarseTune
256, 29	c6,0	Gen_Instrument
257, 2b	41,41	Gen_KeyRange
258, 33	fe,ff	Gen_CoarseTune
259, 34	ce,ff	Gen_FineTune
260, 29	c3,0	Gen_Instrument
261, 2b	43,43	Gen_KeyRange
262,  f	46,0	Gen_ChorusSend
263, 10	46,0	Gen_ReverbSend
264, 26	16,fd	Gen_VolEnvRelease
265, 30	64,0	Gen_Attenuation
266, 33	fd,ff	Gen_CoarseTune
267, 34	ce,ff	Gen_FineTune
268, 29	b8,0	Gen_Instrument
269, 2b	44,44	Gen_KeyRange
270,  f	46,0	Gen_ChorusSend
271, 10	46,0	Gen_ReverbSend
272, 30	fa,0	Gen_Attenuation
273, 33	fb,ff	Gen_CoarseTune
274, 34	e7,ff	Gen_FineTune
275, 29	be,0	Gen_Instrument
276, 2b	45,45	Gen_KeyRange
277,  f	46,0	Gen_ChorusSend
278, 30	64,0	Gen_Attenuation
279, 33	f7,ff	Gen_CoarseTune
280, 29	bd,0	Gen_Instrument
281, 2b	46,46	Gen_KeyRange
282,  f	46,0	Gen_ChorusSend
283, 10	23,0	Gen_ReverbSend
284, 26	79,8	Gen_VolEnvRelease
285, 33	fb,ff	Gen_CoarseTune
286, 29	37,1	Gen_Instrument
287, 2b	47,47	Gen_KeyRange
288, 30	64,0	Gen_Attenuation
289, 33	fb,ff	Gen_CoarseTune
290, 34	ce,ff	Gen_FineTune
291, 29	bc,0	Gen_Instrument
292, 2b	48,48	Gen_KeyRange
293,  f	23,0	Gen_ChorusSend
294, 10	46,0	Gen_ReverbSend
295, 33	f8,ff	Gen_CoarseTune
296, 29	ba,0	Gen_Instrument
297, 2b	49,49	Gen_KeyRange
298, 30	3c,0	Gen_Attenuation
299, 33	fa,ff	Gen_CoarseTune
300, 34	ce,ff	Gen_FineTune
301, 29	b9,0	Gen_Instrument
302, 2b	4a,4a	Gen_KeyRange
303,  7	14,5	Gen_ModEnv2Pitch
304, 19	db,e0	Gen_ModEnvDelay
305, 1a	db,e0	Gen_ModEnvAttack
306, 1b	db,e0	Gen_ModEnvHold
307, 1c	50,fb	Gen_ModEnvDecay
308, 1d	e8,3	Gen_ModEnvSustain
309, 1e	50,fb	Gen_ModEnvRelease
310, 21	db,e0	Gen_VolEnvDelay
311, 22	db,e0	Gen_VolEnvAttack
312, 23	db,e0	Gen_VolEnvHold
313, 25	c0,3	Gen_VolEnvSustain
314, 30	64,0	Gen_Attenuation
315, 33	8,0	Gen_CoarseTune
316, 34	28,0	Gen_FineTune
317, 29	9c,0	Gen_Instrument
318, 2b	4a,4a	Gen_KeyRange
319,  8	db,e0	Gen_FilterFc
320,  9	b4,0	Gen_FilterQ
321,  b	20,1c	Gen_ModEnv2FilterFc
322, 11	78,0	Gen_Pan
323, 19	db,e0	Gen_ModEnvDelay
324, 1a	db,e0	Gen_ModEnvAttack
325, 1b	db,e0	Gen_ModEnvHold
326, 1d	e8,3	Gen_ModEnvSustain
327, 21	db,e0	Gen_VolEnvDelay
328, 22	db,e0	Gen_VolEnvAttack
