
3536	240	3200	0	0
3504	256	3200	0	0
37	768	1410	0	0
33	128	0	45	0
37	768	1345	0	0
37	768	3300	0	0
33	128	0	45	0
37	768	272	0	0
33	128	0	45	0
33	768	2850	0	0
37	768	0	0	0
3536	240	3200	0	0
3504	256	3200	0	0
37	768	0	0	0
33	128	0	45	0
33	128	0	45	0
33	128	0	45	0
33	128	0	45	0
33	128	0	45	0
33	128	0	45	0
33	128	0	45	0
33	128	0	45	0
3536	240	3200	0	0
3504	256	3200	0	0
37	768	0	0	0
33	128	0	45	0
33	128	0	45	0
33	128	0	45	0
33	128	0	45	0
33	128	0	45	0
33	128	0	45	0
33	128	0	45	0
33	128	0	45	0
3536	240	3200	0	0
3504	256	3200	0	0
33	128	0	45	0
37	768	0	0	0
3536	240	3200	0	0
3504	256	3200	0	0
37	768	2850	0	0
33	128	0	45	0
37	768	2305	0	0
37	768	2565	0	0
33	128	0	45	0
37	768	320	0	0
33	128	0	45	0
33	768	515	0	0
37	768	0	0	0
37	768	515	0	0
3536	240	3200	0	0
3504	256	3200	0	0
33	128	0	45	0
33	128	0	45	0
33	128	0	45	0
37	768	515	0	0
3536	240	3200	0	0
3504	256	3200	0	0
33	128	0	45	0
33	128	2806	0	0
37	768	3010	0	0
33	176	1016	0	0
33	128	1526	0	0
33	416	295	0	0
33	544	2955	0	0
2064	80	800	0	0
2064	96	0	0	0
3536	240	3200	0	0
3504	256	3200	0	0
33	128	0	45	0
33	144	128	0	0
33	128	0	45	0
33	128	0	45	0
33	128	0	45	0
33	128	0	45	0
33	128	0	45	0
37	768	3010	0	0
33	176	1016	0	0
33	128	1906	0	0
33	416	2195	0	0
33	544	2575	0	0
2064	80	800	0	0
2064	96	0	0	0
3536	240	3200	0	0
3504	256	3200	0	0
33	128	0	45	0
33	144	128	0	0
33	128	0	45	0
33	128	0	45	0
33	128	0	45	0
33	128	0	45	0
33	128	0	45	0
33	128	0	45	0
33	128	0	45	0
37	768	3010	0	0
33	176	1016	0	0
